,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
921,2018,15044.05534,NY.GDP.PCAP.PP.CD,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
922,2019,15688.63338,NY.GDP.PCAP.PP.CD,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
923,2020,14931.04685,NY.GDP.PCAP.PP.CD,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
924,2016,2863.852044,NY.GDP.PCAP.PP.CD,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
925,2017,3032.262133,NY.GDP.PCAP.PP.CD,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
926,2018,3146.901748,NY.GDP.PCAP.PP.CD,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
927,2019,3188.175462,NY.GDP.PCAP.PP.CD,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
928,2020,3153.131329,NY.GDP.PCAP.PP.CD,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
929,2016,963.6692722,NY.GDP.PCAP.PP.CD,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
930,2017,1059.810762,NY.GDP.PCAP.PP.CD,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
931,2018,1111.96579,NY.GDP.PCAP.PP.CD,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
932,2019,1144.381029,NY.GDP.PCAP.PP.CD,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
933,2020,1141.819133,NY.GDP.PCAP.PP.CD,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
934,2016,3839.9616,NY.GDP.PCAP.PP.CD,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
935,2017,4234.659883,NY.GDP.PCAP.PP.CD,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
936,2018,4022.748814,NY.GDP.PCAP.PP.CD,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
937,2019,3987.490158,NY.GDP.PCAP.PP.CD,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
938,2020,3622.3172,NY.GDP.PCAP.PP.CD,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
939,2016,19075.00447,NY.GDP.PCAP.PP.CD,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
940,2017,20347.03477,NY.GDP.PCAP.PP.CD,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
941,2018,21319.04399,NY.GDP.PCAP.PP.CD,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
942,2019,22511.30067,NY.GDP.PCAP.PP.CD,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
943,2020,22132.46947,NY.GDP.PCAP.PP.CD,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
944,2016,4726.98074,NY.GDP.PCAP.PP.CD,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
945,2017,4830.750515,NY.GDP.PCAP.PP.CD,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
946,2018,5154.331702,NY.GDP.PCAP.PP.CD,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
947,2019,5432.992608,NY.GDP.PCAP.PP.CD,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
948,2020,5465.514544,NY.GDP.PCAP.PP.CD,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
949,2016,25210.98297,NY.GDP.PCAP.PP.CD,HRV,Croatia,Europe & Central Asia,High income,IBRD
950,2017,27154.08469,NY.GDP.PCAP.PP.CD,HRV,Croatia,Europe & Central Asia,High income,IBRD
951,2018,28844.92354,NY.GDP.PCAP.PP.CD,HRV,Croatia,Europe & Central Asia,High income,IBRD
952,2019,30576.61927,NY.GDP.PCAP.PP.CD,HRV,Croatia,Europe & Central Asia,High income,IBRD
953,2020,28841.71407,NY.GDP.PCAP.PP.CD,HRV,Croatia,Europe & Central Asia,High income,IBRD
954,2016,24808.40367,NY.GDP.PCAP.PP.CD,CUW,Curacao,Latin America & Caribbean ,High income,Not classified
955,2017,25475.48966,NY.GDP.PCAP.PP.CD,CUW,Curacao,Latin America & Caribbean ,High income,Not classified
956,2018,25656.45853,NY.GDP.PCAP.PP.CD,CUW,Curacao,Latin America & Caribbean ,High income,Not classified
957,2019,25530.20687,NY.GDP.PCAP.PP.CD,CUW,Curacao,Latin America & Caribbean ,High income,Not classified
958,2020,21413.82474,NY.GDP.PCAP.PP.CD,CUW,Curacao,Latin America & Caribbean ,High income,Not classified
959,2016,35719.19057,NY.GDP.PCAP.PP.CD,CYP,Cyprus,Europe & Central Asia,High income,Not classified
960,2017,38287.9692,NY.GDP.PCAP.PP.CD,CYP,Cyprus,Europe & Central Asia,High income,Not classified
961,2018,40513.69162,NY.GDP.PCAP.PP.CD,CYP,Cyprus,Europe & Central Asia,High income,Not classified
962,2019,42384.24081,NY.GDP.PCAP.PP.CD,CYP,Cyprus,Europe & Central Asia,High income,Not classified
963,2020,39452.86735,NY.GDP.PCAP.PP.CD,CYP,Cyprus,Europe & Central Asia,High income,Not classified
964,2016,36097.70526,NY.GDP.PCAP.PP.CD,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
965,2017,38824.88792,NY.GDP.PCAP.PP.CD,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
966,2018,41135.49298,NY.GDP.PCAP.PP.CD,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
967,2019,42847.00474,NY.GDP.PCAP.PP.CD,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
968,2020,41603.98857,NY.GDP.PCAP.PP.CD,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
969,2016,51976.00571,NY.GDP.PCAP.PP.CD,DNK,Denmark,Europe & Central Asia,High income,Not classified
970,2017,55356.68078,NY.GDP.PCAP.PP.CD,DNK,Denmark,Europe & Central Asia,High income,Not classified
971,2018,57482.9624,NY.GDP.PCAP.PP.CD,DNK,Denmark,Europe & Central Asia,High income,Not classified
972,2019,58700.97467,NY.GDP.PCAP.PP.CD,DNK,Denmark,Europe & Central Asia,High income,Not classified
973,2020,60229.91477,NY.GDP.PCAP.PP.CD,DNK,Denmark,Europe & Central Asia,High income,Not classified
974,2016,4692.550689,NY.GDP.PCAP.PP.CD,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
975,2017,4885.205039,NY.GDP.PCAP.PP.CD,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
976,2018,5339.261075,NY.GDP.PCAP.PP.CD,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
977,2019,5768.83109,NY.GDP.PCAP.PP.CD,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
978,2020,5781.762921,NY.GDP.PCAP.PP.CD,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
979,2016,11949.53406,NY.GDP.PCAP.PP.CD,DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend
980,2017,11304.04333,NY.GDP.PCAP.PP.CD,DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend
981,2018,11804.34586,NY.GDP.PCAP.PP.CD,DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend
982,2019,12892.0211,NY.GDP.PCAP.PP.CD,DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend
983,2020,10853.22835,NY.GDP.PCAP.PP.CD,DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend
984,2016,16109.86367,NY.GDP.PCAP.PP.CD,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
985,2017,16735.36442,NY.GDP.PCAP.PP.CD,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
986,2018,18137.0524,NY.GDP.PCAP.PP.CD,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
987,2019,19191.58039,NY.GDP.PCAP.PP.CD,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
988,2020,17935.65607,NY.GDP.PCAP.PP.CD,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
989,2016,11034.26918,NY.GDP.PCAP.PP.CD,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
990,2017,11617.91222,NY.GDP.PCAP.PP.CD,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
991,2018,11839.34324,NY.GDP.PCAP.PP.CD,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
992,2019,11851.46541,NY.GDP.PCAP.PP.CD,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
993,2020,10895.77218,NY.GDP.PCAP.PP.CD,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
994,2016,11192.37301,NY.GDP.PCAP.PP.CD,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
995,2017,11014.48648,NY.GDP.PCAP.PP.CD,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
996,2018,11639.23909,NY.GDP.PCAP.PP.CD,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
997,2019,12260.72054,NY.GDP.PCAP.PP.CD,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
998,2020,12607.00395,NY.GDP.PCAP.PP.CD,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
999,2016,8038.629794,NY.GDP.PCAP.PP.CD,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
1000,2017,8454.052167,NY.GDP.PCAP.PP.CD,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
1001,2018,8822.550774,NY.GDP.PCAP.PP.CD,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
1002,2019,9147.261066,NY.GDP.PCAP.PP.CD,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
1003,2020,8420.486205,NY.GDP.PCAP.PP.CD,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
1004,2016,20458.7786,NY.GDP.PCAP.PP.CD,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
1005,2017,22550.95816,NY.GDP.PCAP.PP.CD,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
1006,2018,20875.47821,NY.GDP.PCAP.PP.CD,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
1007,2019,19285.03625,NY.GDP.PCAP.PP.CD,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
1008,2020,17940.52079,NY.GDP.PCAP.PP.CD,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
1009,2016,31312.7523,NY.GDP.PCAP.PP.CD,EST,Estonia,Europe & Central Asia,High income,Not classified
1010,2017,33821.93291,NY.GDP.PCAP.PP.CD,EST,Estonia,Europe & Central Asia,High income,Not classified
1011,2018,36249.35815,NY.GDP.PCAP.PP.CD,EST,Estonia,Europe & Central Asia,High income,Not classified
1012,2019,37850.07415,NY.GDP.PCAP.PP.CD,EST,Estonia,Europe & Central Asia,High income,Not classified
1013,2020,37600.59205,NY.GDP.PCAP.PP.CD,EST,Estonia,Europe & Central Asia,High income,Not classified
1014,2016,8705.84317,NY.GDP.PCAP.PP.CD,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
1015,2017,8408.035915,NY.GDP.PCAP.PP.CD,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
1016,2018,8725.162793,NY.GDP.PCAP.PP.CD,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
1017,2019,9018.854282,NY.GDP.PCAP.PP.CD,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
1018,2020,8865.740219,NY.GDP.PCAP.PP.CD,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
1019,2016,1878.812682,NY.GDP.PCAP.PP.CD,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
1020,2017,2021.562908,NY.GDP.PCAP.PP.CD,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
1021,2018,2154.020877,NY.GDP.PCAP.PP.CD,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
1022,2019,2315.34773,NY.GDP.PCAP.PP.CD,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
1023,2020,2422.812086,NY.GDP.PCAP.PP.CD,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
1024,2016,12631.9122,NY.GDP.PCAP.PP.CD,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
1025,2017,13429.30062,NY.GDP.PCAP.PP.CD,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
1026,2018,14178.5634,NY.GDP.PCAP.PP.CD,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
1027,2019,14262.99954,NY.GDP.PCAP.PP.CD,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
1028,2020,12078.84323,NY.GDP.PCAP.PP.CD,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
1029,2016,44934.44821,NY.GDP.PCAP.PP.CD,FIN,Finland,Europe & Central Asia,High income,Not classified
1030,2017,47570.13358,NY.GDP.PCAP.PP.CD,FIN,Finland,Europe & Central Asia,High income,Not classified
1031,2018,49580.6052,NY.GDP.PCAP.PP.CD,FIN,Finland,Europe & Central Asia,High income,Not classified
1032,2019,50321.53969,NY.GDP.PCAP.PP.CD,FIN,Finland,Europe & Central Asia,High income,Not classified
1033,2020,50506.2859,NY.GDP.PCAP.PP.CD,FIN,Finland,Europe & Central Asia,High income,Not classified
1034,2016,42924.61363,NY.GDP.PCAP.PP.CD,FRA,France,Europe & Central Asia,High income,Not classified
1035,2017,44577.06457,NY.GDP.PCAP.PP.CD,FRA,France,Europe & Central Asia,High income,Not classified
1036,2018,46576.60185,NY.GDP.PCAP.PP.CD,FRA,France,Europe & Central Asia,High income,Not classified
1037,2019,49072.36383,NY.GDP.PCAP.PP.CD,FRA,France,Europe & Central Asia,High income,Not classified
1038,2020,46983.04192,NY.GDP.PCAP.PP.CD,FRA,France,Europe & Central Asia,High income,Not classified
1039,2016,14286.1897,NY.GDP.PCAP.PP.CD,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
1040,2017,15006.84404,NY.GDP.PCAP.PP.CD,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
1041,2018,15097.69165,NY.GDP.PCAP.PP.CD,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
1042,2019,15577.91876,NY.GDP.PCAP.PP.CD,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
1043,2020,15106.36638,NY.GDP.PCAP.PP.CD,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
1044,2016,2068.747801,NY.GDP.PCAP.PP.CD,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA
1045,2017,2072.646833,NY.GDP.PCAP.PP.CD,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA
1046,2018,2209.892593,NY.GDP.PCAP.PP.CD,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA
1047,2019,2319.001141,NY.GDP.PCAP.PP.CD,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA
1048,2020,2275.05625,NY.GDP.PCAP.PP.CD,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA
1049,2016,12858.4834,NY.GDP.PCAP.PP.CD,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
1050,2017,13589.70739,NY.GDP.PCAP.PP.CD,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
1051,2018,14595.63064,NY.GDP.PCAP.PP.CD,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
1052,2019,15623.15296,NY.GDP.PCAP.PP.CD,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
1053,2020,14766.9761,NY.GDP.PCAP.PP.CD,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
1054,2016,50579.68393,NY.GDP.PCAP.PP.CD,DEU,Germany,Europe & Central Asia,High income,Not classified
1055,2017,53071.45557,NY.GDP.PCAP.PP.CD,DEU,Germany,Europe & Central Asia,High income,Not classified
1056,2018,55235.3663,NY.GDP.PCAP.PP.CD,DEU,Germany,Europe & Central Asia,High income,Not classified
1057,2019,55652.88749,NY.GDP.PCAP.PP.CD,DEU,Germany,Europe & Central Asia,High income,Not classified
1058,2020,54792.06448,NY.GDP.PCAP.PP.CD,DEU,Germany,Europe & Central Asia,High income,Not classified
1059,2016,4992.730339,NY.GDP.PCAP.PP.CD,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA
1060,2017,5115.90675,NY.GDP.PCAP.PP.CD,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA
1061,2018,5442.872147,NY.GDP.PCAP.PP.CD,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA
1062,2019,5774.333813,NY.GDP.PCAP.PP.CD,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA
1063,2020,5744.432344,NY.GDP.PCAP.PP.CD,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA
1064,2016,27511.80102,NY.GDP.PCAP.PP.CD,GRC,Greece,Europe & Central Asia,High income,Not classified
1065,2017,28604.86094,NY.GDP.PCAP.PP.CD,GRC,Greece,Europe & Central Asia,High income,Not classified
1066,2018,29617.54834,NY.GDP.PCAP.PP.CD,GRC,Greece,Europe & Central Asia,High income,Not classified
1067,2019,30356.2664,NY.GDP.PCAP.PP.CD,GRC,Greece,Europe & Central Asia,High income,Not classified
1068,2020,27909.54449,NY.GDP.PCAP.PP.CD,GRC,Greece,Europe & Central Asia,High income,Not classified
1069,2016,15025.68384,NY.GDP.PCAP.PP.CD,GRD,Grenada,Latin America & Caribbean ,Upper middle income,Blend
1070,2017,16217.49985,NY.GDP.PCAP.PP.CD,GRD,Grenada,Latin America & Caribbean ,Upper middle income,Blend
1071,2018,17231.51223,NY.GDP.PCAP.PP.CD,GRD,Grenada,Latin America & Caribbean ,Upper middle income,Blend
1072,2019,17580.90071,NY.GDP.PCAP.PP.CD,GRD,Grenada,Latin America & Caribbean ,Upper middle income,Blend
1073,2020,15283.25152,NY.GDP.PCAP.PP.CD,GRD,Grenada,Latin America & Caribbean ,Upper middle income,Blend
1074,2016,8221.746427,NY.GDP.PCAP.PP.CD,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
1075,2017,8322.21681,NY.GDP.PCAP.PP.CD,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
1076,2018,8665.347261,NY.GDP.PCAP.PP.CD,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
1077,2019,9019.256062,NY.GDP.PCAP.PP.CD,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
1078,2020,8853.670021,NY.GDP.PCAP.PP.CD,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
1079,2016,2078.641003,NY.GDP.PCAP.PP.CD,GIN,Guinea,Sub-Saharan Africa ,Low income,IDA
1080,2017,2417.803795,NY.GDP.PCAP.PP.CD,GIN,Guinea,Sub-Saharan Africa ,Low income,IDA
1081,2018,2559.724766,NY.GDP.PCAP.PP.CD,GIN,Guinea,Sub-Saharan Africa ,Low income,IDA
1082,2019,2675.593695,NY.GDP.PCAP.PP.CD,GIN,Guinea,Sub-Saharan Africa ,Low income,IDA
1083,2020,2817.32238,NY.GDP.PCAP.PP.CD,GIN,Guinea,Sub-Saharan Africa ,Low income,IDA
1084,2016,1746.752746,NY.GDP.PCAP.PP.CD,GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,IDA
1085,2017,1925.237737,NY.GDP.PCAP.PP.CD,GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,IDA
1086,2018,1947.59676,NY.GDP.PCAP.PP.CD,GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,IDA
1087,2019,2021.301943,NY.GDP.PCAP.PP.CD,GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,IDA
1088,2020,1948.802343,NY.GDP.PCAP.PP.CD,GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,IDA
1089,2016,11296.76997,NY.GDP.PCAP.PP.CD,GUY,Guyana,Latin America & Caribbean ,Upper middle income,IDA
1090,2017,12005.4051,NY.GDP.PCAP.PP.CD,GUY,Guyana,Latin America & Caribbean ,Upper middle income,IDA
1091,2018,12777.16499,NY.GDP.PCAP.PP.CD,GUY,Guyana,Latin America & Caribbean ,Upper middle income,IDA
1092,2019,13635.42613,NY.GDP.PCAP.PP.CD,GUY,Guyana,Latin America & Caribbean ,Upper middle income,IDA
1093,2020,19704.58151,NY.GDP.PCAP.PP.CD,GUY,Guyana,Latin America & Caribbean ,Upper middle income,IDA
1094,2016,3084.033834,NY.GDP.PCAP.PP.CD,HTI,Haiti,Latin America & Caribbean ,Lower middle income,IDA
1095,2017,3153.299389,NY.GDP.PCAP.PP.CD,HTI,Haiti,Latin America & Caribbean ,Lower middle income,IDA
1096,2018,3241.303269,NY.GDP.PCAP.PP.CD,HTI,Haiti,Latin America & Caribbean ,Lower middle income,IDA
1097,2019,3203.300039,NY.GDP.PCAP.PP.CD,HTI,Haiti,Latin America & Caribbean ,Lower middle income,IDA
1098,2020,3095.194062,NY.GDP.PCAP.PP.CD,HTI,Haiti,Latin America & Caribbean ,Lower middle income,IDA
1099,2016,5147.245133,NY.GDP.PCAP.PP.CD,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
1100,2017,5561.994542,NY.GDP.PCAP.PP.CD,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
1101,2018,5816.747324,NY.GDP.PCAP.PP.CD,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
1102,2019,5978.764399,NY.GDP.PCAP.PP.CD,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
1103,2020,5420.234234,NY.GDP.PCAP.PP.CD,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
1104,2016,57221.41376,NY.GDP.PCAP.PP.CD,HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified
1105,2017,59849.24818,NY.GDP.PCAP.PP.CD,HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified
1106,2018,62529.05749,NY.GDP.PCAP.PP.CD,HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified
1107,2019,62106.10088,NY.GDP.PCAP.PP.CD,HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified
1108,2020,59234.10859,NY.GDP.PCAP.PP.CD,HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified
1109,2016,27947.63769,NY.GDP.PCAP.PP.CD,HUN,Hungary,Europe & Central Asia,High income,Not classified
1110,2017,29501.12042,NY.GDP.PCAP.PP.CD,HUN,Hungary,Europe & Central Asia,High income,Not classified
1111,2018,31913.07466,NY.GDP.PCAP.PP.CD,HUN,Hungary,Europe & Central Asia,High income,Not classified
1112,2019,33514.94179,NY.GDP.PCAP.PP.CD,HUN,Hungary,Europe & Central Asia,High income,Not classified
1113,2020,33077.23392,NY.GDP.PCAP.PP.CD,HUN,Hungary,Europe & Central Asia,High income,Not classified
1114,2016,53480.39719,NY.GDP.PCAP.PP.CD,ISL,Iceland,Europe & Central Asia,High income,Not classified
1115,2017,55638.49206,NY.GDP.PCAP.PP.CD,ISL,Iceland,Europe & Central Asia,High income,Not classified
1116,2018,57211.30031,NY.GDP.PCAP.PP.CD,ISL,Iceland,Europe & Central Asia,High income,Not classified
1117,2019,58290.09683,NY.GDP.PCAP.PP.CD,ISL,Iceland,Europe & Central Asia,High income,Not classified
1118,2020,53622.24501,NY.GDP.PCAP.PP.CD,ISL,Iceland,Europe & Central Asia,High income,Not classified
1119,2016,5839.864817,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
1120,2017,6182.922109,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
1121,2018,6675.361294,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
1122,2019,6997.863988,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
1123,2020,6503.948054,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
1124,2016,10494.4738,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
1125,2017,10935.63172,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
1126,2018,11644.75854,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
1127,2019,12311.50327,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
1128,2020,12072.73548,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
1129,2016,14011.54971,NY.GDP.PCAP.PP.CD,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD
1130,2017,14535.87358,NY.GDP.PCAP.PP.CD,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD
1131,2018,13795.31747,NY.GDP.PCAP.PP.CD,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD
1132,2019,12913.16284,NY.GDP.PCAP.PP.CD,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD
1133,2020,13338.01348,NY.GDP.PCAP.PP.CD,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD
1134,2016,9428.606621,NY.GDP.PCAP.PP.CD,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD
1135,2017,10526.37091,NY.GDP.PCAP.PP.CD,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD
1136,2018,10809.47241,NY.GDP.PCAP.PP.CD,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD
1137,2019,11398.04374,NY.GDP.PCAP.PP.CD,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD
1138,2020,9506.725326,NY.GDP.PCAP.PP.CD,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD
1139,2016,71498.60101,NY.GDP.PCAP.PP.CD,IRL,Ireland,Europe & Central Asia,High income,Not classified
1140,2017,77749.20196,NY.GDP.PCAP.PP.CD,IRL,Ireland,Europe & Central Asia,High income,Not classified
1141,2018,84555.6348,NY.GDP.PCAP.PP.CD,IRL,Ireland,Europe & Central Asia,High income,Not classified
1142,2019,87379.69297,NY.GDP.PCAP.PP.CD,IRL,Ireland,Europe & Central Asia,High income,Not classified
1143,2020,93180.9454,NY.GDP.PCAP.PP.CD,IRL,Ireland,Europe & Central Asia,High income,Not classified
1144,2016,37843.19463,NY.GDP.PCAP.PP.CD,ISR,Israel,Middle East & North Africa,High income,Not classified
1145,2017,39121.29583,NY.GDP.PCAP.PP.CD,ISR,Israel,Middle East & North Africa,High income,Not classified
1146,2018,39906.12468,NY.GDP.PCAP.PP.CD,ISR,Israel,Middle East & North Africa,High income,Not classified
1147,2019,40004.03051,NY.GDP.PCAP.PP.CD,ISR,Israel,Middle East & North Africa,High income,Not classified
1148,2020,39481.56878,NY.GDP.PCAP.PP.CD,ISR,Israel,Middle East & North Africa,High income,Not classified
